Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1uf,C52923
"C10, C3",0402,2,10uF,C15525
"C11, C4",0402,2,100n,C1525
"C8, C9",0603,2,1uF,C15849
D1,0603,1,D_Small,C143772
D2,0603,1,red,C72044
D4,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,
"J1, J2, J9",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,3,Conn_01x04,C161692
J10,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,Conn_01x06,
J11,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,
J4,Cursed_usbc,1,USB_C_Receptacle_USB2.0,
"J5, J6",JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,2,Conn_01x03,C131339
J7,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,1,Conn_01x03,C265101
J8,solder_power,1,Conn_01x02,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
"Q1, Q2, Q3",SOT-523,3,NMOS, C5224244 
R1,0402,1,120r,C25079
"R2, R3, R4",0402,3,R_Small,
R5,0603,1,1k,C21190
R6,0402,1,10k,C25744
U1,ESP32-C3-MINI-1-N4,1,ESP32-C3-MINI-1-N4,C2934569
U2,ATA6561-GBQW-N,1,TCAN1042DRQ1,C5308062
U3,RSDW10-05H,1,DCDC,C5872541
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U6,SOT-666,1,USBLC6-2P6,C2827693
