Designator,Mid X,Mid Y,Rotation,Layer
C1,118.9,-74.2,180.0,top
C10,114.7,-72.175,180.0,top
C11,114.725,-67.1,180.0,top
C3,124.0,-96.2,180.0,top
C4,124.0,-95.2,180.0,top
C8,107.7,-73.8,180.0,top
C9,106.6,-69.65,270.0,top
D1,105.2,-69.65,90.0,top
D2,113.435,-73.8,180.0,top
D3,118.3,-83.3,0.0,top
D4,118.3,-85.9,0.0,top
J1,130.4,-83.45,270.0,top
J10,110.575,-77.75,0.0,top
J2,130.4,-92.925,270.0,top
J5,110.5,-86.05,0.0,top
J6,110.5,-93.75,0.0,top
J7,129.0,-73.25,90.0,bottom
J9,123.4,-84.2,90.0,top
Q1,114.4,-88.1,0.0,top
Q2,114.4,-95.8,0.0,top
Q3,118.65,-76.7,180.0,top
R1,124.7,-89.7,180.0,top
R2,116.2,-88.1,90.0,top
R3,116.2,-95.8,90.0,top
R4,118.7,-78.3,180.0,top
R5,110.575,-73.8,0.0,top
R6,118.9,-75.1,180.0,top
R7,124.7,-90.7,0.0,top
SW1,119.5,-96.2,0.0,top
SW2,130.0,-81.0,180.0,bottom
U1,126.75,-68.8,0.0,top
U2,124.9,-93.025,0.0,top
U3,110.435,-80.63,0.0,bottom
U5,111.65,-69.55,180.0,top
U6,103.3,-66.05,270.0,top
